Pos.,No.,Name,RName,Team,Ht.m,Wt.kg,BMI,KPmin,Avg..Speed,z.BMI,z.Speed
G,20,Josh Okogie,J. Okogie,All,1.93,96,25.77,1404,4.4,0.78,0.78
G,0,Jeff Teague,J. Teague,MIN,1.88,88,24.9,2220,3.67,0.22,-2.95
G,0,Jeff Teague,J. Teague,All,1.88,88,24.9,2220,3.67,0.22,-2.95
C,32,Karl-Anthony Towns,K. Towns,MIN,2.13,112,24.69,2574,4.01,0.08,-1.21
C,32,Karl-Anthony Towns,K. Towns,All,2.13,112,24.69,2574,4.01,0.08,-1.21
F,1,Noah Vonleh,N. Vonleh,MIN,2.06,113,26.63,1386,4.24,1.33,-0.04
F,1,Noah Vonleh,N. Vonleh,All,2.06,113,26.63,1386,4.24,1.33,-0.04
G/F,22,Andrew Wiggins,A. Wiggins,MIN,2.03,88,21.35,2574,4.04,-2.06,-1.06
G/F,22,Andrew Wiggins,A. Wiggins,All,2.03,88,21.35,2574,4.04,-2.06,-1.06
C,12,Steven Adams,S. Adams,OKC,2.13,120,26.45,2574,4.09,1.21,-0.8
C,12,Steven Adams,S. Adams,All,2.13,120,26.45,2574,4.09,1.21,-0.8
G/F,30,Deonte Burton,D. Burton,OKC,1.96,109,28.37,780,4.22,2.45,-0.14
G/F,30,Deonte Burton,D. Burton,All,1.96,109,28.37,780,4.22,2.45,-0.14
G,6,Hamidou Diallo,H. Diallo,OKC,1.96,92,23.95,1438,4.39,-0.39,0.73
G,6,Hamidou Diallo,H. Diallo,All,1.96,92,23.95,1438,4.39,-0.39,0.73
G/F,23,Terrance Ferguson,T. Ferguson,OKC,2.01,86,21.29,1950,4.33,-2.11,0.42
G/F,23,Terrance Ferguson,T. Ferguson,All,2.01,86,21.29,1950,4.33,-2.11,0.42
F,8,Danilo Gallinari,D. Gallinari,OKC,2.08,106,24.5,1920,4.08,-0.04,-0.85
F,8,Danilo Gallinari,D. Gallinari,All,2.08,106,24.5,1920,4.08,-0.04,-0.85
G,2,Shai Gilgeous-Alexander,S. Gilgeous-Alexander,OKC,1.98,82,20.92,2184,4.48,-2.34,1.19
G,2,Shai Gilgeous-Alexander,S. Gilgeous-Alexander,All,1.98,82,20.92,2184,4.48,-2.34,1.19
F/C,33,Mike Muscala,M. Muscala,OKC,2.11,109,24.48,1500,4.49,-0.05,1.24
F/C,33,Mike Muscala,M. Muscala,All,2.11,109,24.48,1500,4.49,-0.05,1.24
G,11,Abdel Nader,A. Nader,OKC,1.98,102,26.02,1092,4.47,0.94,1.14
G,11,Abdel Nader,A. Nader,All,1.98,102,26.02,1092,4.47,0.94,1.14
F/C,9,Nerlens Noel,N. Noel,OKC,2.11,100,22.46,980,4.24,-1.35,-0.04
F/C,9,Nerlens Noel,N. Noel,All,2.11,100,22.46,980,4.24,-1.35,-0.04
G,3,Chris Paul,C. Paul,OKC,1.83,79,23.59,2272,3.78,-0.62,-2.39
G,3,Chris Paul,C. Paul,All,1.83,79,23.59,2272,3.78,-0.62,-2.39
G,24,Kent Bazemore,K. Bazemore,POR,1.96,91,23.69,1800,4.36,-0.56,0.58
G,24,Kent Bazemore,K. Bazemore,All,1.96,91,23.69,1800,4.36,-0.56,0.58
F/C,33,Zach Collins,Z. Collins,POR,2.13,107,23.58,1950,4.18,-0.63,-0.34
F/C,33,Zach Collins,Z. Collins,All,2.13,107,23.58,1950,4.18,-0.63,-0.34
