"Rnk.","Bike brand","Wins","Teams"
9,"Pinarello",30,"Aisan Racing Team ,  Caisse d'Epargne"
10,"Orbea",30,"Andalucia-Caja Sur ,  Ceramica Flaminia - Bossini Docce ,  Euskaltel - Euskadi ,  Orbea - Oreka SDA ,  Xacobeo-Galicia"
11,"Kuota",29,"Agritubel ,  Kuota Senges ,  Sava"
12,"Wilier",28,"Doha Team ,  Lampre"
13,"Ridley",24,"Contentpolis - Murcia ,  Silence - Lotto"
14,"Lapierre",21,"Française des Jeux"
15,"Felt",18,"Legia ,  Slipstream - Chipotle presented by H3O ,  Team Garmin - Chipotle ,  Team Konica Minolta - Bizhub"
16,"Bianchi",17,"Barloworld ,  Team Joker - Bianchi"
17,"SCOTT",17,"Saunier Duval - Scott ,  Scott - American Beef ,  Scott - Marcondes Cesar - São José dos Campos"
18,"Author",16,"DHL - Author ,  PSK Whirlpool-Author"
19,"BH",14,"AG2R La Mondiale ,  Burgos Monumental"
20,"Batavus",13,"Team P3 Transfer - Batavus"
21,"Felino",11,"Bretagne Armor Lux"
22,"Koga",10,"Skil - Shimano"
23,"Dynatek",7,"Dynatek - Latvia"
24,"SAB",6,"Katay Cycling Team"
25,"Merida",5,"Kalev Sport"
26,"Fondriest",4,"NGC Medical - OTC Industria Porte"
27,"LeMond",4,"Kelly Benefit Strategies / Medifast"
28,"Dolan",4,"Pezula Racing"
29,"Cannondale",3,"Health Net Presented By Maxxis"
30,"Condor",3,"Rapha - Condor - Recycling.co.uk"
31,"BMC",2,"BMC Racing Team"
32,"Fuji",2,"Caico Cycling Team"
33,"CKT",2,"StegComputer - CKT - Cogeas"
34,"GT",2,"Jelly Belly Cycling Team"
35,"Wheeler",2,"A-Style Somn"
36,"Jamis",2,"Colavita / Sutter Home presented by Cooking Light"
37,"Argon 18",1,"Team RACE Pro"
38,"Viner",1,"Madeinox - Boavista"
39,"Pinnacle",1,"Plowman Craven Racing Team"
1,"SCOTT",85,"Team Columbia - HTC"
2,"Specialized",73,"ISD Cycling Team ,  Quickstep - Innergetic ,  Saxo Bank"
3,"Giant",31,"Drapac - Porsche Cycling ,  Rabobank ProTeam"
4,"Felt",29,"Team Garmin - Slipstream"
5,"Pinarello",28,"Aisan Racing Team ,  Caisse d'Epargne"
6,"Ridley",28,"Contentpolis - Ampo ,  Team Katusha"
7,"Trek",27,"Astana ,  Tecos de la Universidad Autonoma de Guadalajara ,  Trek - Livestrong"
8,"Cervélo",26,"Cervelo Test Team"
9,"Wilier",24,"Doha Team ,  Lampre - NGC"
10,"Orbea",20,"Andalucia-Caja Sur ,  Euskaltel - Euskadi ,  Orbea - Oreka SDA ,  Xacobeo-Galicia"
11,"De Rosa",19,"Acqua & Sapone ,  LPR Brakes - Farnese Vini"
12,"Lapierre",18,"Française des Jeux"
13,"Bianchi",14,"Barloworld - Bianchi ,  Team Joker - Bianchi"
14,"Time",13,"Bbox Bouygues Telecom"
15,"Batavus",12,"Vacansoleil"
16,"Canyon",10,"Silence - Lotto"
17,"BH",10,"AG2R La Mondiale ,  Burgos Monumental - Castilla y Leon"
18,"Kestrel",10,"Rock Racing"
19,"Author",9,"PSK Whirlpool-Author"
20,"Focus",9,"Continental Team Milram ,  Milram"
21,"Kuota",7,"Ouch ,  Sava ,  Team Kuota - Indeland"
22,"Colnago",6,"CSF Group - Navigare"
23,"Argon 18",5,"Planet Energy"
24,"Fuji",4,"Fuji-Servetto"
25,"Merckx",4,"Topsport Vlaanderen - Mercator"
26,"BMC",3,"BMC Racing Team"
27,"Condor",3,"Rapha - Condor - Recycling.co.uk"
28,"CKT",3,"Team  Neotel"
29,"Jamis",3,"Colavita / Sutter Home presented by Cooking Light"
30,"Schwinn",2,"House of Paint"
1,"SCOTT",64,"Team HTC - Columbia"
2,"Specialized",56,"Astana ,  Saxo Bank"
3,"Pinarello",34,"Caisse d'Epargne ,  Sky Procycling"
4,"Trek",29,"RadioShack ,  Trek - Livestrong presented by Radioshack"
5,"Definitive",27,"Saur - Sojasun"
6,"Colnago",27,"Bbox Bouygues Telecom ,  Colnago - CSF Inox"
7,"Felt",27,"Team Garmin - Transitions"
8,"Giant",24,"Drapac - Porsche Cycling ,  Rabobank ProTeam"
9,"Ridley",24,"Palmans Cras ,  SparebankenVest – Ridley  ,  Team Katusha"
10,"Eddy Merckx",22,"Quickstep - Innergetic ,  Topsport Vlaanderen - Mercator"
11,"Focus",21,"Jelly Belly presented by Kenda ,  Milram ,  Team NetApp"
12,"Orbea",20,"Andalucia-Caja Sur ,  Euskaltel - Euskadi ,  Kelly Benefit Strategies"
